"Year","Release Type","Site","Installation","Nuclide Type","Activity"
"2012","Atmospheric","Browns Ferry","Aggregated Record","Noble Gases","3.490000e+0"
"1996","Atmospheric","Krsko","Krsko NPP","Iodine","2.740000e+0"
"1988","Atmospheric","River Bend","Aggregated Record","Iodine","1.769000e-2"
"2019","Liquid","Rovno","Rovno-4","Particulates","0.000000e+0"
"2010","Liquid","Zaporozhye","Zaporizhzhia 2","C-14","0.000000e+0"
"2015","Liquid","Heysham","Heysham 1 (Unit A)","Beta/Gamma","1.794790e+2"
"2018","Liquid","Browns Ferry","Aggregated Record","Beta/Gamma","2.654660e-1"
"2015","Atmospheric","Pickering","Pickering 5-8","Iodine","4.600000e-3"
"2025","Liquid","Wolsong","Shin-Wolsong 2","H-3","2.799344e+4"
"2013","Atmospheric","Zaporozhye","Zaporizhzhia 2","Beta/Gamma","1.044000e-3"
"2015","Atmospheric","Zaporozhye","Zaporizhzhia 5","C-14","0.000000e+0"
"2022","Atmospheric","Sendai","Aggregated Record","Noble Gases","1.500000e+0"
"1985","Atmospheric","Duane Arnold 1","Aggregated Record","Iodine","2.960000e-2"
"2018","Atmospheric","Trillo","Aggregated Record","Noble Gases","3.880000e+2"
"2020","Liquid","Cooper","Aggregated Record","H-3","5.840000e+0"
"2007","Atmospheric","Jose Cabrera","Aggregated Record","H-3","6.980200e+0"
"2007","Atmospheric","Hinkley Point","Hinkley Point B (BA-BB)","Noble Gases","3.760000e+3"
"2019","Atmospheric","Clinton","Aggregated Record","H-3","2.999000e+1"
"2008","Liquid","Zaporozhye","Drain valve 1","Beta/Gamma","0.000000e+0"
"2023","Liquid","Pickering","Aggregated Record","H-3","3.800000e+5"
"2011","Liquid","Gentilly","Gentilly 2","C-14","1.890000e+1"
"2010","Atmospheric","Smolensk","Aggregated Record","Noble Gases","6.400000e+4"
"2002","Atmospheric","Penly","Aggregated Record","Beta/Gamma","7.266140e-3"
"1996","Atmospheric","Darlington","Aggregated Record","Noble Gases","3.800000e+5"
"2015","Liquid","Hanbit","Hanbit 4","Beta/Gamma","8.850000e-3"
"2011","Atmospheric","Byron","Byron 1","Iodine","3.671000e-4"
"2008","Liquid","Arkansas One","Arkansas One 1","Iodine","1.029250e-3"
"2015","Atmospheric","Ringhals","Ringhals 1","Iodine","8.560000e-3"
"2014","Atmospheric","Callaway","Aggregated Record","H-3","4.053640e+1"
"2020","Atmospheric","KNK II","Aggregated Record","C-14","3.600000e+1"
"2011","Atmospheric","Prairie Island","Aggregated Record","C-14","1.054000e+1"
"2013","Atmospheric","Civaux","Aggregated Record","Iodine","1.470000e-2"
"2017","Atmospheric","Hatch","Hatch 2","Noble Gases","3.460600e+0"
"2006","Atmospheric","Gravelines","Aggregated Record","C-14","9.190000e+2"
"2008","Atmospheric","Palisades","Aggregated Record","Noble Gases","1.209870e+1"
"2010","Atmospheric","Tomari","Aggregated Record","Noble Gases","6.500000e+0"
"2018","Liquid","River Bend","Aggregated Record","Iodine","1.836700e-4"
"2008","Liquid","Ignalina","Ignalina 2","Iodine","0.000000e+0"
"2015","Liquid","Susquehanna","Aggregated Record","Iodine","2.056000e-5"
"2009","Liquid","Vogtle","Vogtle 2","H-3","1.117517e+3"
"2011","Atmospheric","Hatch","Hatch 1","Iodine","9.823010e-4"
"2010","Atmospheric","Cattenom","Aggregated Record","Noble Gases","1.623300e+3"
"2005","Liquid","St. Alban","Aggregated Record","Iodine","1.180000e-2"
"1989","Atmospheric","Diablo Canyon","Aggregated Record","Noble Gases","1.240000e+4"
"2012","Atmospheric","Almaraz","Aggregated Record","Particulates","1.040000e-3"
"2010","Atmospheric","Ringhals","Ringhals 2","Iodine","4.070000e-3"
"2011","Atmospheric","Fitzpatrick","Aggregated Record","Iodine","1.770666e-3"
"2008","Atmospheric","Virgil C. Summer","Aggregated Record","Noble Gases","1.289808e+0"
"2015","Atmospheric","Belleville","Aggregated Record","H-3","2.290000e+3"
"2008","Atmospheric","Bruce","Bruce B 5-8","Iodine","3.800000e-2"
"2015","Liquid","Khmelnitski","Drain valve","Particulates","0.000000e+0"
"1998","Liquid","Budapest University of Technology and Economics","Training Reactor","Long-Lived","0.000000e+0"
"2018","Atmospheric","Khmelnitski","Drain valve","H-3","0.000000e+0"
"2011","Liquid","Asco","Aggregated Record","Other","3.412000e-2"
"1994","Atmospheric","Braidwood","Aggregated Record","Iodine","1.400000e-1"
"1987","Atmospheric","Calvert Cliffs","Aggregated Record","Noble Gases","1.680000e+5"
"2019","Atmospheric","Dresden","Dresden 2","H-3","3.875100e+1"
"2008","Liquid","Ringhals","Ringhals 3","Alpha","6.430000e-4"
"2007","Atmospheric","Zaporozhye","Zaporizhzhia 2","Iodine","6.590000e-3"
"2010","Atmospheric","Quad Cities","Aggregated Record","Iodine","6.376599e-2"
"2016","Atmospheric","Bohunice","A1- decommissioning and Radwaste conditioning facility","Beta/Gamma","3.744419e-4"
"2013","Atmospheric","Palo Verde","Palo Verde 1","Noble Gases","8.071805e-1"
"2024","Atmospheric","Winfrith","Aggregated Record","H-3","1.050000e+1"
"2018","Atmospheric","Hatch","Hatch 1","H-3","1.017960e+1"
"2016","Atmospheric","Sizewell B","Sizewell B","C-14","2.310000e+2"
"2017","Liquid","Hanbit","Hanbit 6","H-3","1.290000e+4"
"2010","Atmospheric","Darlington","Aggregated Record","C-14","1.300000e+3"
"2016","Atmospheric","Point Beach","Aggregated Record","Iodine","8.300000e-5"
"2020","Atmospheric","Ringhals","Ringhals 1","H-3","6.911000e+1"
"2009","Liquid","Hatch","Hatch 1","H-3","1.554468e+1"
"2018","Atmospheric","Tricastin","Aggregated Record","C-14","4.530000e+2"
"1997","Liquid","Muelheim-Kaerlich","Aggregated Record","H-3","1.800000e+2"
"2019","Atmospheric","Hinkley Point","Hinkley Point B (BA-BB)","Noble Gases","9.710000e+3"
"1997","Liquid","Cap de la Hague","Aggregated Record","H-3","1.190000e+7"
"1986","Liquid","Arkansas One","Aggregated Record","H-3","1.635000e+4"
"2015","Liquid","Zaporozhye","Zaporizhzhia 5","H-3","0.000000e+0"
"2022","Atmospheric","Muehleberg","Aggregated Record","Beta/Gamma","1.460000e-4"
"2018","Atmospheric","Seabrook","Aggregated Record","H-3","9.766000e+1"
"2021","Atmospheric","Darlington","Aggregated Record","H-3","2.600000e+5"
"2019","Atmospheric","Indian Point","Indian Point 3","Noble Gases","2.058047e-1"
"1985","Atmospheric","Three Mile Island","Aggregated Record","Beta/Gamma","2.760000e-3"
"2011","Liquid","Loviisa","Loviisa 1","Iodine","3.290000e-4"
"2008","Atmospheric","South Texas","South Texas 2","H-3","4.278000e+1"
"1985","Liquid","Cofrentes","Aggregated Record","H-3","5.400000e+2"
"2010","Atmospheric","Civaux","Aggregated Record","Iodine","2.150000e-2"
"1988","Atmospheric","Phenix","Aggregated Record","Beta/Gamma","2.000000e-2"
"2007","Liquid","St. Alban","Aggregated Record","H-3","5.430000e+4"
"2012","Atmospheric","Hanbit","Hanbit 4","H-3","3.220000e+2"
"2023","Atmospheric","Kori","Kori 3","H-3","4.750000e+3"
"2014","Atmospheric","Forsmark","Forsmark 2","C-14","6.725000e+2"
"2015","Atmospheric","Hanul","Hanul 3","Noble Gases","1.590000e+1"
"2014","Liquid","Oconee","Aggregated Record","Iodine","5.090000e-6"
"1992","Atmospheric","St. Lucie","Aggregated Record","Iodine","2.101230e-1"
"1988","Atmospheric","Bruce","Bruce B 5-8","Noble Gases","1.540000e+5"
"2013","Liquid","Calvert Cliffs","Aggregated Record","Beta/Gamma","1.471683e-2"
"2003","Liquid","Creys-Malville","Aggregated Record","H-3","6.720000e+0"
"2022","Atmospheric","Saeul","Saeul-2","Noble Gases","1.600000e+0"
"2005","Atmospheric","Flamanville","Aggregated Record","Beta/Gamma","5.220000e-3"
"2023","Liquid","ROSTOV","Aggregated Record","H-3","7.510000e+2"
"2015","Atmospheric","Sizewell A","Sizewell A (AA-AB)","Other","0.000000e+0"
"2008","Atmospheric","Hanul","Hanul 3","Particulates","5.230000e-5"
"2015","Atmospheric","Zaporozhye","Zaporizhzhia 3","Alpha","0.000000e+0"
"2011","Atmospheric","Forsmark","Forsmark 3","Noble Gases","2.360000e+3"
"2008","Liquid","Oconee","Aggregated Record","H-3","7.562010e+2"
"2023","Atmospheric","Dungeness B","Aggregated Record","Beta/Gamma","1.616800e-1"
"2017","Atmospheric","Oskarshamn","Oskarshamn 2","Noble Gases","2.600000e+0"
"2015","Atmospheric","Olkiluoto","Olkiluoto 2","Particulates","5.650000e-3"
"2017","Atmospheric","Wylfa","Aggregated Record","H-3","1.780000e+2"
"2013","Atmospheric","Hunterston","Hunterston B (B1-B2)","C-14","1.220000e+3"
"2010","Atmospheric","ROSTOV","Aggregated Record","Iodine","4.580000e-5"
"2020","Atmospheric","Laguna Verde","Laguna Verde 1","Beta/Gamma","5.480000e-1"
"2012","Atmospheric","Kori","Kori 2","H-3","3.400000e+3"
"2009","Liquid","Trillo","Aggregated Record","Particulates","9.527063e-1"
"1997","Atmospheric","Hanul","Hanul Aggregated Record","H-3","3.590000e+3"
"2021","Atmospheric","Balakovo","Aggregated Record","C-14","0.000000e+0"
"2019","Atmospheric","Darlington","Aggregated Record","C-14","9.700000e+2"
"1985","Atmospheric","Loviisa","Aggregated Record","Noble Gases","1.100000e+3"
"2010","Liquid","McGuire","Aggregated Record","H-3","1.208548e+3"
"2016","Atmospheric","Oldbury","Aggregated Record","C-14","7.200000e-1"
"2016","Atmospheric","Comanche Peak","Aggregated Record","C-14","2.588000e+1"
"2009","Atmospheric","Sizewell A","Sizewell A (AA-AB)","Beta/Gamma","1.000000e+0"
"2019","Atmospheric","Brunswick","Aggregated Record","Iodine","2.128318e-1"
"1988","Atmospheric","Diablo Canyon","Aggregated Record","Beta/Gamma","2.187000e-2"
"2024","Atmospheric","Leibstadt","Aggregated Record","H-3","3.600000e+2"
"2015","Liquid","Dampierre","Aggregated Record","H-3","5.570000e+4"
"1994","Liquid","Susquehanna","Aggregated Record","H-3","7.520000e+3"
"2019","Liquid","St. Alban","Aggregated Record","H-3","6.210000e+4"
"2017","Liquid","South Ukraine","South Ukraine 3","Particulates","0.000000e+0"
"2014","Atmospheric","Hartlepool","Aggregated Record","Beta/Gamma","1.162960e+1"
"2005","Liquid","Chinon","Aggregated Record","Iodine","1.370000e-2"
"2009","Atmospheric","Hanul","Hanul 2","Noble Gases","1.341590e+1"
"2013","Atmospheric","Pickering","Pickering 5-8","Alpha","5.800000e-4"
"1992","Liquid","Sellafield","Aggregated Record","Alpha","1.700000e+3"
"2012","Liquid","Blayais","Aggregated Record","H-3","3.950000e+4"
"2020","Liquid","Fukushima-Daini","Aggregated Record","H-3","3.200000e+0"
"1968","Liquid","Sellafield","Aggregated Record","Alpha","5.242740e+4"
"2015","Liquid","Olkiluoto","Olkiluoto 1","H-3","8.440000e+2"
"1996","Atmospheric","Wuergassen","Aggregated Record","Beta/Gamma","1.200000e-2"
"1992","Atmospheric","Kori","Kori Aggregated Record","H-3","1.250000e+4"
"2020","Liquid","Isar","Isar 1 (KKI1)","Iodine","0.000000e+0"
"1989","Liquid","Oconee","Aggregated Record","H-3","3.774000e+4"
"1988","Atmospheric","Gentilly","Aggregated Record","Noble Gases","8.300000e+4"
"2020","Liquid","Hanbit","Hanbit 3","Particulates","0.000000e+0"
"1988","Atmospheric","Yankee NPS","Aggregated Record","H-3","1.694600e+2"
"2013","Atmospheric","Doel","Aggregated Record","Alpha","2.000000e-4"
"2010","Liquid","Zaporozhye","Drain valve 2","Alpha","0.000000e+0"
"2011","Atmospheric","Hatch","Hatch 2","Iodine","1.407501e-3"
"2008","Atmospheric","Arkansas One","Arkansas One 2","Noble Gases","7.410842e+1"
"2008","Atmospheric","Dresden","Dresden 2-3","H-3","2.036006e+1"
"2017","Liquid","Pickering","Pickering 1-4","C-14","1.800000e+0"
"2008","Liquid","Ignalina","Aggregated Record","Beta/Gamma","2.686600e-1"
"2014","Atmospheric","Temelin","Temelin-1","C-14","3.052572e+2"
"2011","Atmospheric","Forsmark","Forsmark 1","Noble Gases","4.536100e+3"
"2022","Liquid","Saeul","Saeul-2","Beta/Gamma","1.887640e-1"
"2025","Atmospheric","Bruce","Bruce A 1-4","Iodine","6.700000e-4"
"2014","Atmospheric","Ringhals","Ringhals 4","Noble Gases","2.176000e+2"
"2007","Atmospheric","Kozloduy","Auxiliary building","Iodine","1.400000e-2"
"2015","Liquid","Bruce","Bruce B 5-8","Alpha","1.400000e-3"
"2004","Liquid","Paluel","Aggregated Record","Beta/Gamma","3.718290e+0"
"1987","Atmospheric","Atucha","Aggregated Record","Noble Gases","1.400000e+3"
"2011","Atmospheric","Hanbit","Hanbit 3","H-3","4.120000e+2"
"2019","Atmospheric","Rovno","Rovno-4","Iodine","4.172000e-3"
"2006","Atmospheric","Fessenheim","Aggregated Record","Noble Gases","2.112324e+2"
"1986","Atmospheric","Salem","Aggregated Record","Iodine","1.628000e-1"
"1985","Liquid","Beznau","Aggregated Record","H-3","3.400000e+4"
"2010","Liquid","Hamaoka","Aggregated Record","H-3","6.400000e+2"
"2009","Atmospheric","Zaporozhye","Drain valve 2","Alpha","0.000000e+0"
"2013","Liquid","Zaporozhye","Zaporizhzhia 3","Alpha","0.000000e+0"
"2014","Atmospheric","Flamanville","Aggregated Record","C-14","4.380000e+2"
"2016","Liquid","Forsmark","Forsmark 3","H-3","2.021368e+2"
"2015","Atmospheric","Ringhals","Ringhals 4","H-3","8.294000e+2"
"2006","Liquid","Santa Maria de Garona","Aggregated Record","Beta/Gamma","1.492956e-1"
"2017","Atmospheric","Hatch","Hatch 1","Noble Gases","4.956200e+0"
"2013","Atmospheric","Farley","Farley 2","Noble Gases","1.833653e+0"
"2005","Atmospheric","Santa Maria de Garona","Aggregated Record","Iodine","1.016370e-1"
"2013","Atmospheric","Cruas","Aggregated Record","H-3","9.990000e+2"
"2013","Atmospheric","Almaraz","Aggregated Record","C-14","2.790000e+2"
"2003","Atmospheric","Paluel","Aggregated Record","Noble Gases","2.020180e+3"
"2009","Atmospheric","Berkeley","Aggregated Record","Other","5.100000e-4"
"2000","Atmospheric","Halden","OECD Halden reactor project","Iodine","6.390000e-2"
"2023","Liquid","Tomari","Aggregated Record","H-3","5.700000e+0"
"2016","Liquid","Khmelnitski","Khmelnitski 2","Other","0.000000e+0"
"2020","Liquid","Kori","Kori 2","Beta/Gamma","0.000000e+0"
"2016","Atmospheric","Zaporozhye","Zaporizhzhia 6","Other","0.000000e+0"
"1993","Liquid","Shimane","Aggregated Record","H-3","5.700000e+2"
"2016","Atmospheric","Zaporozhye","Zaporizhzhia 6","C-14","0.000000e+0"
"2016","Atmospheric","Ringhals","Ringhals 2","Noble Gases","2.950000e+0"
"2011","Atmospheric","Oskarshamn","Oskarshamn 1","Beta/Gamma","1.100493e-2"
"2008","Atmospheric","Civaux","Aggregated Record","Noble Gases","6.690600e+3"
"2008","Atmospheric","Pilgrim","Aggregated Record","H-3","7.234300e+1"
"1996","Liquid","Kashiwazaki Kariwa","Aggregated Record","H-3","1.700000e+2"
"2014","Atmospheric","Millstone","Millstone 1","H-3","1.860100e+0"
"2012","Atmospheric","Donald Cook","Aggregated Record","Noble Gases","3.136680e+0"
"2014","Atmospheric","Zaporozhye","Zaporizhzhia 1 ","Particulates","2.530000e-2"
"2016","Atmospheric","Trawsfynydd","Aggregated Record","H-3","3.700000e+1"
"2016","Atmospheric","Hanul","Hanul 6","H-3","1.520000e+3"
"2023","Atmospheric","Bradwell","Bradwell A","C-14","4.200000e-1"
"1981","Liquid","Berkeley","Aggregated Record","Alpha","6.500000e-1"
"2014","Liquid","Gravelines","Aggregated Record","Iodine","3.430000e-2"
"2023","Atmospheric","Pickering","Aggregated Record","C-14","3.200000e+3"
"2007","Liquid","Hanbit","Hanbit 3","H-3","8.820000e+3"
"2020","Liquid","Sendai","Aggregated Record","C-14","0.000000e+0"
"1996","Atmospheric","Big Rock Point","Aggregated Record","Beta/Gamma","1.300000e-1"
"2014","Atmospheric","Tsuruga","Tsuruga 1","Noble Gases","0.000000e+0"
"2013","Liquid","Watts Bar","Watts Bar-1","H-3","6.374070e+2"
"2024","Atmospheric","Beloyarsky","Aggregated Record","H-3","2.928000e+1"
"2010","Atmospheric","Pilgrim","Aggregated Record","C-14","8.546200e+0"
"2011","Atmospheric","ROSTOV","Aggregated Record","Beta/Gamma","2.840000e-3"
"2013","Atmospheric","Lacrosse","Aggregated Record","Beta/Gamma","3.220020e-4"
"2013","Atmospheric","Hanul","Hanul 6","Noble Gases","5.903010e+0"
"2021","Liquid","Tomari","Aggregated Record","H-3","1.600000e+1"
"2007","Atmospheric","Hanbit","Hanbit 6","Noble Gases","4.812360e+3"
"2012","Atmospheric","Diablo Canyon","Aggregated Record","Beta/Gamma","1.372000e-5"
"1985","Atmospheric","Lasalle","Aggregated Record","H-3","8.510000e+1"
"2016","Liquid","Tihange","Tihange 1","Iodine","1.330000e-3"
"1987","Atmospheric","McGuire","Aggregated Record","Noble Gases","1.510000e+5"
"2016","Atmospheric","Embalse","Aggregated Record","H-3","1.800000e+5"
"1985","Liquid","Maine Yankee","Aggregated Record","H-3","6.810000e+3"
"2018","Atmospheric","Forsmark","Forsmark 1","Other","5.252951e+3"
"2008","Atmospheric","Hanul","Hanul 1","Particulates","3.574000e-4"
"2015","Liquid","Braidwood","Braidwood 2","H-3","1.601900e+3"
"2018","Liquid","Almaraz","Aggregated Record","Other","3.552500e-1"
"2018","Atmospheric","Zaporozhye","Zaporizhzhia 5","Noble Gases","2.380000e+3"
"2008","Atmospheric","Halden","OECD Halden reactor project","H-3","5.500000e+4"
"1996","Liquid","Khmelnitski","Khmelnitski 1","H-3","6.630000e+2"
"2016","Atmospheric","Dresden","Dresden 2","C-14","1.500000e+1"
"2018","Atmospheric","Rovno","Rovno-3","H-3","5.740000e+2"
"1985","Liquid","Prairie Island","Aggregated Record","H-3","2.580000e+4"
"2009","Atmospheric","St. Lucie","St. Lucie 1","H-3","2.480000e+0"
"2019","Liquid","Penly","Aggregated Record","C-14","4.510000e+1"
"2019","Atmospheric","Salem","Salem 1","Iodine","1.121500e-4"
"1985","Atmospheric","Callaway","Aggregated Record","Iodine","1.136000e-2"
"2008","Atmospheric","Chooz","Aggregated Record","Iodine","9.240000e-2"
"2022","Atmospheric","Trawsfynydd","Aggregated Record","H-3","1.720000e+1"
"1987","Atmospheric","Pickering","Pickering 5-8","Beta/Gamma","1.500000e-2"
"2013","Liquid","St. Lucie","St. Lucie 2","C-14","1.232200e-2"
"2015","Atmospheric","Fort Calhoun","Aggregated Record","Iodine","3.710000e-6"
"2016","Liquid","Point Beach","Aggregated Record","H-3","5.184000e+2"
"2006","Liquid","Flamanville","Aggregated Record","C-14","3.200000e+1"
"2018","Liquid","Zaporozhye","Zaporizhzhia 1 ","Alpha","0.000000e+0"
"2025","Atmospheric","Kursk-2","KURSK 2 AGGREGATED","H-3","9.070000e+0"
"2016","Liquid","Shearon Harris","Aggregated Record","Beta/Gamma","5.499679e+0"
"2009","Atmospheric","Blayais","Aggregated Record","Iodine","1.490000e-2"
"2009","Atmospheric","Santa Maria de Garona","Aggregated Record","Noble Gases","2.933311e+4"
"2007","Atmospheric","South Ukraine","South Ukraine 3","Noble Gases","1.363281e+4"
"2007","Atmospheric","Bruce","Bruce A 1-4","C-14","1.500000e+3"
"2024","Atmospheric","Winfrith","Aggregated Record","Alpha","1.480000e-6"
"2016","Atmospheric","South Ukraine","South Ukraine 1-2","Iodine","2.158019e-2"
"1991","Atmospheric","Angra","Aggregated Record","H-3","2.780000e+1"
"2014","Liquid","Ignalina","Aggregated Record","H-3","5.960000e+0"
"1994","Atmospheric","Hanul","Hanul Aggregated Record","Iodine","5.200000e-4"
"2014","Atmospheric","Oskarshamn","Oskarshamn 1","Other","3.775346e+2"
"2013","Liquid","Pickering","Pickering 5-8","Alpha","1.300000e-2"
"2019","Atmospheric","Dukovany","Dukovany 3-4","H-3","3.659250e+2"
"2009","Liquid","Vogtle","Vogtle 1","H-3","1.071952e+2"
"2011","Liquid","Genkai","Aggregated Record","Other","0.000000e+0"
"2015","Liquid","Civaux","Aggregated Record","Iodine","4.690000e-3"
"2017","Liquid","Kori","Shin-Kori 2","Beta/Gamma","5.185000e-2"
"2015","Atmospheric","Browns Ferry","Aggregated Record","Beta/Gamma","9.493759e-3"
"1997","Atmospheric","Kori","Kori Aggregated Record","Noble Gases","6.790000e+3"
"1968","Liquid","Sellafield","Aggregated Record","Beta/Gamma","4.786920e+6"
"2022","Atmospheric","Embalse","Aggregated Record","Beta/Gamma","1.477503e-5"
"2020","Liquid","Kashiwazaki Kariwa","Aggregated Record","Iodine","0.000000e+0"
"2024","Liquid","Wolsong","Wolsong 3","Iodine","0.000000e+0"
"2008","Liquid","Rovno","Drain valve units 3-4","Alpha","0.000000e+0"
"2011","Atmospheric","Heysham","Heysham 2 (Unit B)","Iodine","1.020000e-1"
"1996","Atmospheric","Angra","Aggregated Record","Noble Gases","7.720000e+3"
"2017","Liquid","Wolsong","Wolsong 1","C-14","1.350000e-1"
"2016","Liquid","Dresden","Dresden 3","H-3","1.811000e-1"
"2016","Liquid","Wylfa","Aggregated Record","H-3","1.170000e+2"
"2020","Atmospheric","Bohunice"," NPP V1/JAVYS","C-14","2.787767e+0"
"1995","Atmospheric","Three Mile Island","Aggregated Record","Beta/Gamma","2.300000e-4"
"2012","Atmospheric","Wolsong","Wolsong 3","C-14","9.360000e+1"
"2006","Liquid","Fessenheim","Aggregated Record","Beta/Gamma","6.293450e-1"
